symbol,chr,genesequenceid,proteinsequenceid,chromosequenceid,mrnasequenceid,hgncid,ncbiid,ensemblid,pharmgkbid,frequencymethods,lookupmethod,version,notesondiplotype,url,functionmethods,notesonallelenaming,includephenotypefrequencies,includediplotypefrequencies
CALU,chr7,,NP_001210,,,HGNC:1458,813,ENSG00000128595,PA26047,,PHENOTYPE,78,,,,,True,True
CES1,chr16,NG_012057,NP_001257,,,HGNC:1863,1066,ENSG00000198848,PA107,,PHENOTYPE,77,,,,,True,True
TCF7L2,chr10,NG_012631,NP_110383,,,HGNC:11641,6934,ENSG00000148737,PA36394,,PHENOTYPE,2,,,,,True,True
ADD1,chr4,NG_012037,NP_001110,,,HGNC:243,118,ENSG00000087274,PA31,,PHENOTYPE,2,,,,,True,True
TMEM43,chr3,NG_008975,NP_077310,,,HGNC:28472,79188,ENSG00000170876,PA134871907,,PHENOTYPE,2,,,,,True,True
SOD2,chr6,NG_008729,NP_000627,,,HGNC:11180,6648,ENSG00000112096,PA36017,,PHENOTYPE,2,,,,,True,True
SERPINC1,chr1,NG_012462,NP_000479,,,HGNC:775,462,ENSG00000117601,PA35026,,PHENOTYPE,2,,,,,True,True
TNF,chr6,NG_007462,NP_000585,,,HGNC:11892,7124,ENSG00000232810,PA435,,PHENOTYPE,2,,,,,True,True
C11orf65,chr11,,NP_689800,,,HGNC:28519,160140,ENSG00000166323,PA144596484,,PHENOTYPE,3,,,,,True,True
HAS3,chr16,,NP_005320,,,HGNC:4820,3038,ENSG00000103044,PA29196,,PHENOTYPE,3,,,,,True,True
SLC47A2,chr17,,NP_001093116,,,HGNC:26439,146802,ENSG00000180638,PA162403847,,PHENOTYPE,3,,,,,True,True
CBR3,chr21,,NP_001227,,,HGNC:1549,874,ENSG00000159231,PA26122,,PHENOTYPE,3,,,,,True,True
NT5C2,chr10,,NP_036361,,,HGNC:8022,22978,ENSG00000076685,PA31801,,PHENOTYPE,3,,,,,True,True
NEDD4L,chr18,,NP_056092,,,HGNC:7728,23327,ENSG00000049759,PA31534,,PHENOTYPE,3,,,,,True,True
CYB5R1,chr1,,NP_057327,,,HGNC:13397,51706,ENSG00000159348,PA134979668,,PHENOTYPE,3,,,,,True,True
SLC28A3,chr9,,NP_071410,,,HGNC:16484,64078,ENSG00000197506,PA426,,PHENOTYPE,3,,,,,True,True
FDPS,chr1,,NP_001995,,,HGNC:3631,2224,ENSG00000160752,PA28075,,PHENOTYPE,3,,,,,True,True
PTGFR,chr1,,NP_000950,,,HGNC:9600,5737,ENSG00000122420,PA290,,PHENOTYPE,3,,,,,True,True
KCNIP4,chr4,,NP_671711,,,HGNC:30083,80333,ENSG00000185774,PA134893552,,PHENOTYPE,3,,,,,True,True
HLA-DQA1,chr6,,NP_002113,,,HGNC:4942,3117,ENSG00000196735,PA35066,,PHENOTYPE,3,,,,,True,True
ABCC4,chr13,,NP_005836,,,HGNC:55,10257,ENSG00000125257,PA397,,PHENOTYPE,3,,,,,True,True
ABL2,chr1,,NP_005149,,,HGNC:77,27,ENSG00000143322,PA24414,,PHENOTYPE,3,,,,,True,True
UGT2B15,chr4,,NP_001067,,,HGNC:12546,7366,ENSG00000196620,PA37188,,PHENOTYPE,3,,,,,True,True
YEATS4,chr12,,NP_006521,,,HGNC:24859,8089,ENSG00000127337,PA134992686,,PHENOTYPE,3,,,,,True,True
TANC1,chr2,,NP_203752,,,HGNC:29364,85461,ENSG00000115183,PA142670838,,PHENOTYPE,3,,,,,True,True
CRHR2,chr7,,NP_001874,,,HGNC:2358,1395,ENSG00000106113,PA26875,,PHENOTYPE,3,,,,,True,True
CYB5R2,chr11,,NP_057313,,,HGNC:24376,51700,ENSG00000166394,PA142672060,,PHENOTYPE,3,,,,,True,True
XRCC1,chr19,,NP_006288,,,HGNC:12828,7515,ENSG00000073050,PA369,,PHENOTYPE,3,,,,,True,True
COL22A1,chr8,,NP_690848,,,HGNC:22989,169044,ENSG00000169436,PA134914705,,PHENOTYPE,3,,,,,True,True
CYB5R4,chr6,,NP_057314,,,HGNC:20147,51167,ENSG00000065615,PA134904907,,PHENOTYPE,3,,,,,True,True
C8orf34,chr8,,NP_443190,,,HGNC:30905,116328,ENSG00000165084,PA142672353,,PHENOTYPE,3,,,,,True,True
ADORA2A,chr22,,NP_000666,,,HGNC:263,135,ENSG00000128271,PA24584,,PHENOTYPE,3,,,,,True,True
LTC4S,chr5,,NP_665874,,,HGNC:6719,4056,ENSG00000213316,PA235,,PHENOTYPE,78,,,,,True,True
NAT2,chr8,NG_012246,NP_000006,,,HGNC:7646,10,ENSG00000156006,PA18,,PHENOTYPE,77,,,,,True,True
ADRB1,,,,,,HGNC:285,153,ENSG00000043591,PA38,,PHENOTYPE,75,,,,,True,True
OPRM1,chr6,NG_021208,NP_000905,,,HGNC:8156,4988,ENSG00000112038,PA31945,,PHENOTYPE,71,,https://cpicpgx.org/gene/oprm1/,,,True,True
CYP2A7P1,chr19,NG_000008,,,,HGNC:2612,1550,ENSG00000213908,PA27103,,PHENOTYPE,78,,,,,True,True
FLOT1,chr6,,NP_005794,,,HGNC:3757,10211,ENSG00000137312,PA28175,,PHENOTYPE,78,,,,,True,True
PTGS1,chr9,,NP_000953,,,HGNC:9604,5742,ENSG00000095303,PA24346,,PHENOTYPE,78,,,,,True,True
TYMS,chr18,,NP_001062,,,HGNC:12441,7298,ENSG00000176890,PA359,,PHENOTYPE,78,,,,,True,True
UMPS,chr3,NG_017037,NP_000364,,,HGNC:12563,7372,ENSG00000114491,PA363,,PHENOTYPE,77,,,,,True,True
VDR,chr12,NG_008731,NP_000367,,,HGNC:12679,7421,ENSG00000111424,PA37301,,PHENOTYPE,77,,,,,True,True
IFNL3,chr19,NG_042193.1,NP_000101.2,NC_000019.10,NM_001042351.2,HGNC:18365,282617,ENSG00000197110,PA134952671,,ALLELE_STATUS,163,,https://cpicpgx.org/gene/ifnl/,,Common Name,True,True
GRIK4,chr11,,NP_055434,,,HGNC:4582,2900,ENSG00000149403,PA28976,,PHENOTYPE,78,,,,,True,True
GRK5,,,,,,HGNC:4544,2869,ENSG00000198873,PA180,,PHENOTYPE,75,,,,,True,True
HLA-C,chr6,NG_002397,NP_002108,,,HGNC:4933,3107,ENSG00000204525,PA35057,,PHENOTYPE,77,,,,,True,True
HLA-DPB1,chr6,,NP_002112,,,HGNC:4940,3115,ENSG00000223865,PA35064,,PHENOTYPE,78,,,,,True,True
HTR1A,chr5,,NP_000515,,,HGNC:5286,3350,ENSG00000178394,PA192,,PHENOTYPE,78,,,,,True,True
IFNL4,chr19,,,,,HGNC:44480,101180976,ENSG00000272395,PA166049147,,PHENOTYPE,80,,https://cpicpgx.org/gene/ifnl/,,,True,True
HLA-A,chr6,NG_002398,NP_002107,,,HGNC:4931,3105,ENSG00000206503,PA35055,"Methods

The allele frequency table was made by searching the PubMed® database (1995 to September 2019). The following criteria were used for HLA-A: (HLA-A) AND (allele OR frequency). In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the HLA-A frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses). Allele frequencies reported in phase 3 1000 Genomes (http://browser.1000genomes.org/index.html) and from allelefrequencies.net (https://www.allelefrequencies.net) were also included .
Caveats to estimated allele frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",ALLELE_STATUS,158,,https://cpicpgx.org/gene/hla/,,,False,False
HLA-B,chr6,NG_002397,NP_005505,,,HGNC:4932,3106,ENSG00000234745,PA35056,"Methods

The allele frequency table was made by searching the PubMed® database (1995 to September 2019). The following criteria were used for HLA-B: (HLA-B) AND (allele OR frequency). In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the HLA-B frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses). Allele frequencies reported in phase 3 1000 Genomes (http://browser.1000genomes.org/index.html) and from allelefrequencies.net (https://www.allelefrequencies.net) were also included .
Caveats to estimated allele, diplotype and phenotype frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",ALLELE_STATUS,158,,https://cpicpgx.org/gene/hla/,,,False,False
NUDT15,chr13,NG_047021.1,NP_060753.1,NC_000013.11,NM_001042351.2,HGNC:23063,55270,ENSG00000136159,PA134963132,"The allele frequency table was made by searching the PubMed® database (no start date to 1/2018). Allele frequencies reported in the gnomAD browser (http://gnomad.broadinstitute.org/ - exomes and genomes) and ensembl (grch37.ensembl.org - exomes or genomes) were also included. URLs are included in the ""PMID"" column.

Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.

Caveats to estimated allele, diplotype and phenotype frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Estimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. The inferred frequency for *1 is estimated as: 100 - (sum of averaged variant allele frequencies). For genes where many alleles are not tested for in any population, and frequency of 'common' alleles is not well documented in many understudied populations (Oceania, South Asian, Latino), the *1 frequency will deviate even more from true values.

Diplotype/Phenotype frequency estimates. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",PHENOTYPE,304,,https://cpicpgx.org/gene/nudt15/,,Common name,True,True
TPMT,chr6,NG_012137.2,NP_000358.1,NC_000006.12,NM_000540.2,HGNC:12014,7172,ENSG00000137364,PA356,"The allele frequency table was made by searching the PubMed® database (no start date to 1/2018). Allele frequencies reported in the gnomAD browser (http://gnomad.broadinstitute.org/ - exomes and genomes) and ensembl (grch37.ensembl.org - exomes or genomes) were also included. URLs are included in the ""PMID"" column.

Diplotype and Phenotype Calculations. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.

Caveats to estimated allele, diplotype and phenotype frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Estimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. The inferred frequency for *1 is estimated as: 100 - (sum of averaged variant allele frequencies). For genes where many alleles are not tested for in any population, and frequency of 'common' alleles is not well documented in many understudied populations (Oceania, South Asian, Latino), the *1 frequency will deviate even more from true values.

Diplotype/Phenotype frequency estimates. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",PHENOTYPE,302,,https://cpicpgx.org/gene/tpmt/,,Nucleotide change on cDNA from https://liu.se/en/research/tpmt-nomenclature-committee,True,True
ABCB1,chr7,NG_011513,NP_000918,,,HGNC:40,5243,ENSG00000085563,PA267,,PHENOTYPE,77,,,,,True,True
BCHE,chr3,NG_009031,NP_000046,,,HGNC:983,590,ENSG00000114200,PA25294,,PHENOTYPE,77,,,,,True,True
RYR1,chr19,NG_008866.1,NP_000531.2,NC_000019.10,NM_000540.2,HGNC:10483,6261,ENSG00000196218,PA34896,"Methods

Table includes variants based on an update of the CPIC guideline for potent volatile anesthetic agents and succinylcholine. The guideline update includes the published list of RYR1 variants (supplemental table S2), which are evaluated by the ClinGen malignant hyperthermia susceptibility (MHS) variant curation expert panel and classified for RYR1-related malignant hyperthermia susceptibility based on specified ACMG/AMP criteria (PMID 35849058).

gnomAD v2.1.1 was queried with the variant positions or rsIDs.
gnomAD population description - PharmGKB biogeographical group mapping:
African/African American - Sub-Saharan African
South Asian - Central/South Asian
Latino/Admixed American - Latino
East Asian - East Asian
Non-Finnish European - European
Ashkenazi Jewish - Near Eastern

Caveats to estimated allele, frequencies:

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",PHENOTYPE,304,,https://cpicpgx.org/gene/ryr1/,,Common name,False,False
ACYP2,,,,,,HGNC:180,98,ENSG00000170634,PA24500,,PHENOTYPE,51,,,,,True,True
CFTR,chr7,NG_016465.4,NP_000483.3,NC_000007.14,NM_000069.2,HGNC:1884,1080,ENSG00000001626,PA109,,PHENOTYPE,229,,https://cpicpgx.org/gene/cftr/,,Legacy Name/Class,True,True
ABCG2,chr4,NG_032067.2,NP_001335914.1,NC_000004.12,NM_004827.3,HGNC:74,9429,ENSG00000118777,PA390,"Methods

The allele frequency table was made by searching the Genome Aggregation Database (gnomAD) and 1000 Genomes phase 3 data by rsID. In addition, pubmed were also searched to include frequencies for certain biogeographical groups (eg. Oceanian and American).

Caveats to estimated allele, frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",PHENOTYPE,205,,https://cpicpgx.org/gene/abcg2/,,,True,True
CACNA1S,chr1,NG_009816.1,NP_000060.2,NC_000001.11,NM_000069.2,HGNC:1397,779,ENSG00000081248,PA85,"Methods

The allele frequency table was made by searching the Genome Aggregation Database (gnomAD) by each rsID

Caveats to estimated allele, frequencies:

Sampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.

Biogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.",PHENOTYPE,309,,https://cpicpgx.org/gene/cacna1s/,,,False,False
